date,timestamp,price,market_caps,total_volumes
2025-07-06,1751760000000,108217.46849992426,2152344091389.654,10042942280.966904
2025-07-07,1751846400000,109215.19771840284,2171497503296.0476,14638669497.351295
2025-07-08,1751932800000,108300.71675785031,2153777588647.4504,25493246475.80407
2025-07-09,1752019200000,108953.19187727802,2167049398056.7417,20488865138.27645
2025-07-10,1752105600000,111327.53054245668,2215210888568.426,37078460440.66385
2025-07-11,1752192000000,115879.65030112496,2303292356999.744,56204086624.04028
2025-07-12,1752278400000,117571.02510036016,2338612196961.744,64185145923.88688
2025-07-13,1752364800000,117418.95745007684,2335485977830.673,24351256098.393543
2025-07-14,1752451200000,119117.55666327637,2369050366835.5605,27310851454.97692
2025-07-15,1752537600000,119833.67446712356,2383825813673.847,68915956378.80447
2025-07-16,1752624000000,117678.19493404306,2341223394839.9204,80299520980.2335
2025-07-17,1752710400000,118748.1627367753,2363194640209.576,50374263848.76278
2025-07-18,1752796800000,119445.36520434044,2376237382764.3013,49282617205.72662
2025-07-19,1752883200000,117988.94664455787,2347165317624.536,58896449260.69391
2025-07-20,1752969600000,117901.62655900871,2345398337785.541,23934511126.349533
2025-07-21,1753056000000,117256.9208222684,2333757287859.664,36702153882.06748
2025-07-22,1753142400000,117482.46977767294,2337365497467.132,46344384345.39471
2025-07-23,1753228800000,119955.79570607652,2387516761560.4927,58939000420.94166
2025-07-24,1753315200000,118629.05588130427,2359931875300.5244,45225685167.61703
2025-07-25,1753401600000,118354.43517438594,2354764508342.9937,51940414419.3327
2025-07-26,1753488000000,117540.8083708574,2338855554998.781,91617702596.10349
2025-07-27,1753574400000,117959.54234360624,2346959472845.027,25145925063.881348
2025-07-28,1753660800000,119418.91405141471,2376524838793.0137,30220402191.467663
2025-07-29,1753747200000,118003.30201607826,2349472897426.4688,43433742203.62158
2025-07-30,1753833600000,117853.30892863822,2345126504020.1143,42860287143.68828
2025-07-31,1753920000000,117833.24087995924,2343717963709.7124,43054424656.58649
2025-08-01,1754006400000,115700.00243915782,2302199162425.1206,45238249453.35885
2025-08-02,1754092800000,113234.6051343189,2253609880959.403,65794680822.25255
2025-08-03,1754179200000,112554.90232221724,2240413983638.112,33543439044.09785
2025-08-04,1754265600000,114199.10966460756,2272802075267.0376,24689273719.085533
2025-08-05,1754352000000,115138.68613070175,2292395156144.1514,32488023582.82734
2025-08-06,1754438400000,114128.35408881678,2271583255077.356,37316213251.97167
2025-08-07,1754524800000,115022.09576830892,2289295036528.6577,32052509631.058872
2025-08-08,1754611200000,117463.47451085236,2337732858703.5435,38289687095.00489
2025-08-09,1754697600000,116688.36663186055,2323026541073.3213,33017415812.97353
2025-08-10,1754784000000,116510.08393213755,2318815857401.68,27638785406.21056
2025-08-11,1754870400000,119266.92516880557,2374097296837.8896,37157754754.85189
2025-08-12,1754956800000,118773.79960860992,2364060561672.9995,61739781527.95854
2025-08-13,1755043200000,120202.53485503166,2392854421745.616,46941089789.57991
2025-08-14,1755129600000,123560.99363577303,2458895200752.567,61818118105.53991
2025-08-15,1755216000000,118405.59579823952,2360043737045.272,73822008367.99681
2025-08-16,1755302400000,117339.79190213275,2335290383260.173,44268714220.021
2025-08-17,1755388800000,117501.21653394958,2339465736068.208,23202714236.542347
2025-08-18,1755475200000,117542.83687778088,2340648324181.828,20906566026.645443
2025-08-19,1755561600000,116256.41276740946,2313556987528.4634,47337926940.98573
2025-08-20,1755648000000,112778.34483555844,2245419916215.7417,46156885037.403885
2025-08-21,1755734400000,114252.39755195397,2274471285844.184,42166369117.006935
2025-08-22,1755820800000,112414.39987336512,2238121481749.57,32048202090.65466
2025-08-23,1755907200000,116834.24948202296,2326174803320.612,50878158870.82928
